"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 12:41:38 GMT 2023","Wed Jul 12 12:41:44 GMT 2023","5823","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_018 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields","TX_018 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields",""
"passed","Wed Jul 12 12:39:13 GMT 2023","Wed Jul 12 12:39:21 GMT 2023","8348","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page",""
"passed","Wed Jul 12 12:39:42 GMT 2023","Wed Jul 12 12:39:48 GMT 2023","5529","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_004 Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page","TX_004 Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page",""
"passed","Wed Jul 12 12:40:31 GMT 2023","Wed Jul 12 12:40:37 GMT 2023","5601","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_010 Check that ""Telnyx`s Terms & Conditions"" link navigate to ""Telnyx`s Terms & Conditions"" page from the Sign up page","TX_010 Check that ""Telnyx`s Terms & Conditions"" link navigate to ""Telnyx`s Terms & Conditions"" page from the Sign up page",""
"passed","Wed Jul 12 12:39:31 GMT 2023","Wed Jul 12 12:39:42 GMT 2023","11435","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_003 Test the ""Contact Us"" form with positive scenario, form opened via link from the Global Numbers page","TX_003 Test the ""Contact Us"" form with positive scenario, form opened via link from the Global Numbers page",""
"passed","Wed Jul 12 12:39:21 GMT 2023","Wed Jul 12 12:39:31 GMT 2023","9383","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_002 Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page","TX_002 Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page",""
"passed","Wed Jul 12 12:41:49 GMT 2023","Wed Jul 12 12:41:54 GMT 2023","5027","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_020 Test the ""Contact Us"" form with negative scenario when all fields are left empty","TX_020 Test the ""Contact Us"" form with negative scenario when all fields are left empty",""
"passed","Wed Jul 12 12:41:25 GMT 2023","Wed Jul 12 12:41:35 GMT 2023","10097","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_016 Test Sign In form from Contact Us page with negative scenario where all fields are filled with incorrect credentials","TX_016 Test Sign In form from Contact Us page with negative scenario where all fields are filled with incorrect credentials",""
"passed","Wed Jul 12 12:41:44 GMT 2023","Wed Jul 12 12:41:49 GMT 2023","5220","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_019 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field","TX_019 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field",""
"passed","Wed Jul 12 12:40:37 GMT 2023","Wed Jul 12 12:40:43 GMT 2023","6449","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_011 Check that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page","TX_011 Check that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page",""
"passed","Wed Jul 12 12:41:03 GMT 2023","Wed Jul 12 12:41:15 GMT 2023","12361","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_014 Test Sign In form from Sign Up page with negative scenario where all fields are filled with incorrect credentials","TX_014 Test Sign In form from Sign Up page with negative scenario where all fields are filled with incorrect credentials",""
